second,Volt1,Volt2,Volt3,Volt4
-2.2443E-03,-66.5313E-03,+67.4063E-03,+20.0125E-03,-3.1250E-03
-2.2343E-03,-57.1563E-03,+72.3125E-03,+1.2000E-03,-4.9063E-03
-2.2243E-03,-51.3438E-03,+78.5625E-03,-581.2E-06,-4.4688E-03
-2.2143E-03,-44.6563E-03,+83.0313E-03,-1.9250E-03,-6.6875E-03
-2.2043E-03,-35.2813E-03,+89.7188E-03,+37.2625E-03,-11.1563E-03
-2.1943E-03,-31.2500E-03,+97.3125E-03,+82.8563E-03,-7.1563E-03
-2.1843E-03,-25.9063E-03,+101.7813E-03,+93.1688E-03,-1.3438E-03
-2.1743E-03,-20.0938E-03,+104.9063E-03,+91.8250E-03,-5.3438E-03
-2.1643E-03,-18.7500E-03,+108.0313E-03,+40.1688E-03,-5.8125E-03
-2.1543E-03,-15.1875E-03,+111.1563E-03,-2.3625E-03,-6.6875E-03
-2.1443E-03,-14.2813E-03,+114.2813E-03,-1.4875E-03,-7.5938E-03
-2.1343E-03,-15.6250E-03,+113.8438E-03,-581.2E-06,-9.8125E-03
-2.1243E-03,-15.6250E-03,+114.2813E-03,+62.2000E-03,-8.9375E-03
-2.1143E-03,-19.1875E-03,+113.8438E-03,+112.3563E-03,-11.5938E-03
-2.1043E-03,-25.4375E-03,+112.5000E-03,+113.7000E-03,-13.8438E-03
-2.0943E-03,-29.9063E-03,+108.9375E-03,+113.7000E-03,-8.9375E-03
-2.0843E-03,-36.5938E-03,+102.6875E-03,+49.5750E-03,-9.8125E-03
-2.0743E-03,-45.9688E-03,+100.0000E-03,+1.2000E-03,-14.2813E-03
-2.0643E-03,-55.3438E-03,+96.4375E-03,+1.2000E-03,-17.4063E-03
-2.0543E-03,-64.7188E-03,+88.4063E-03,+2.9813E-03,-18.7500E-03
-2.0443E-03,-77.6563E-03,+79.0313E-03,+45.2938E-03,-20.5313E-03
-2.0343E-03,-91.5000E-03,+73.2188E-03,+76.2000E-03,-23.6563E-03
-2.0243E-03,-102.2188E-03,+68.3125E-03,+77.9813E-03,-26.7813E-03
-2.0143E-03,-115.1563E-03,+60.2813E-03,+77.5438E-03,-31.6875E-03
-2.0043E-03,-132.5625E-03,+52.6875E-03,+37.0125E-03,-36.1563E-03
-1.9943E-03,-142.4063E-03,+44.6563E-03,+3.8875E-03,-41.0625E-03
-1.9843E-03,-154.4375E-03,+38.8438E-03,-581.2E-06,-41.9688E-03
-1.9743E-03,-169.6250E-03,+32.1563E-03,-143.7E-06,-44.1875E-03
-1.9643E-03,-182.1250E-03,+26.3438E-03,-581.2E-06,-46.8750E-03
-1.9543E-03,-192.8438E-03,+19.6563E-03,+12.3250E-03,-46.8750E-03
-1.9443E-03,-204.0000E-03,+15.6250E-03,+23.0750E-03,-50.4375E-03
-1.9343E-03,-212.9375E-03,+13.8438E-03,+23.0750E-03,-53.1250E-03
-1.9243E-03,-219.1875E-03,+10.7188E-03,+21.2938E-03,-53.1250E-03
-1.9143E-03,-223.6563E-03,+9.3750E-03,+5.7000E-03,-62.0313E-03
-1.9043E-03,-228.5625E-03,+11.1563E-03,-5.0500E-03,-61.6250E-03
