second,Volt
-3.84000E-03,-13.84999E-03
-3.82000E-03,-13.84999E-03
-3.80000E-03,-13.84999E-03
-3.78000E-03,-13.84999E-03
-3.76000E-03,-7.59999E-03
-3.74000E-03,-7.59999E-03
-3.72000E-03,-13.84999E-03
-3.70000E-03,-13.84999E-03
-3.68000E-03,-7.59999E-03
-3.66000E-03,-13.84999E-03
-3.64000E-03,-13.84999E-03
-3.62000E-03,-20.09999E-03
-3.60000E-03,-20.09999E-03
-3.58000E-03,-20.09999E-03
-3.56000E-03,-20.09999E-03
-3.54000E-03,-13.84999E-03
-3.52000E-03,-20.09999E-03
-3.50000E-03,-20.09999E-03
-3.48000E-03,-20.09999E-03
-3.46000E-03,-20.09999E-03
-3.44000E-03,-20.09999E-03
-3.42000E-03,-20.09999E-03
-3.40000E-03,-20.09999E-03
-3.38000E-03,-26.34999E-03
-3.36000E-03,-26.34999E-03
-3.34000E-03,-26.34999E-03
-3.32000E-03,-32.59999E-03
-3.30000E-03,-26.34999E-03
-3.28000E-03,-32.59999E-03
-3.26000E-03,-38.84999E-03
-3.24000E-03,-32.59999E-03
-3.22000E-03,-32.59999E-03
-3.20000E-03,-45.09999E-03
-3.18000E-03,-32.59999E-03
-3.16000E-03,-38.84999E-03
-3.14000E-03,-38.84999E-03
-3.12000E-03,-45.09999E-03
-3.10000E-03,-51.34999E-03
-3.08000E-03,-45.09999E-03
-3.06000E-03,-51.34999E-03
-3.04000E-03,-51.34999E-03
-3.02000E-03,-51.34999E-03
-3.00000E-03,-51.34999E-03
-2.98000E-03,-51.34999E-03
-2.96000E-03,-57.59999E-03
-2.94000E-03,-51.34999E-03
-2.92000E-03,-57.59999E-03
-2.90000E-03,-63.84999E-03
-2.88000E-03,-63.84999E-03
-2.86000E-03,-63.84999E-03
-2.84000E-03,-70.09999E-03
-2.82000E-03,-70.09999E-03
-2.80000E-03,-76.34999E-03
-2.78000E-03,-70.09999E-03
-2.76000E-03,-76.34999E-03
-2.74000E-03,-76.34999E-03
-2.72000E-03,-82.59999E-03
-2.70000E-03,-82.59999E-03
-2.68000E-03,-82.59999E-03
-2.66000E-03,-82.59999E-03
-2.64000E-03,-88.84999E-03
-2.62000E-03,-95.09999E-03
-2.60000E-03,-95.09999E-03
-2.58000E-03,-95.09999E-03
-2.56000E-03,-95.09999E-03
-2.54000E-03,-101.34999E-03
-2.52000E-03,-101.34999E-03
-2.50000E-03,-101.34999E-03
-2.48000E-03,-107.59999E-03
-2.46000E-03,-113.84999E-03
-2.44000E-03,-113.84999E-03
-2.42000E-03,-120.09999E-03
-2.40000E-03,-120.09999E-03
-2.38000E-03,-120.09999E-03
-2.36000E-03,-126.34999E-03
-2.34000E-03,-120.09999E-03
-2.32000E-03,-138.84999E-03
-2.30000E-03,-126.34999E-03
-2.28000E-03,-138.84999E-03
-2.26000E-03,-138.84999E-03
-2.24000E-03,-138.84999E-03
-2.22000E-03,-145.09999E-03
-2.20000E-03,-145.09999E-03
-2.18000E-03,-151.34999E-03
-2.16000E-03,-151.34999E-03
-2.14000E-03,-163.84999E-03
-2.12000E-03,-151.34999E-03
-2.10000E-03,-157.59999E-03
-2.08000E-03,-163.84999E-03
-2.06000E-03,-170.09999E-03
-2.04000E-03,-170.09999E-03
-2.02000E-03,-176.34999E-03
-2.00000E-03,-176.34999E-03
-1.98000E-03,-176.34999E-03
-1.96000E-03,-182.59999E-03
-1.94000E-03,-195.09999E-03
-1.92000E-03,-188.84999E-03
-1.90000E-03,-195.09999E-03
-1.88000E-03,-195.09999E-03
-1.86000E-03,-201.34999E-03
-1.84000E-03,-207.59999E-03
-1.82000E-03,-213.84999E-03
-1.80000E-03,-213.84999E-03
-1.78000E-03,-213.84999E-03
-1.76000E-03,-213.84999E-03
-1.74000E-03,-226.34999E-03
-1.72000E-03,-232.59999E-03
-1.70000E-03,-232.59999E-03
-1.68000E-03,-238.84999E-03
-1.66000E-03,-238.84999E-03
-1.64000E-03,-238.84999E-03
-1.62000E-03,-245.09999E-03
-1.60000E-03,-251.34999E-03
-1.58000E-03,-257.59999E-03
-1.56000E-03,-257.59999E-03
-1.54000E-03,-263.84999E-03
-1.52000E-03,-270.09999E-03
-1.50000E-03,-276.34999E-03
-1.48000E-03,-282.59999E-03
-1.46000E-03,-282.59999E-03
-1.44000E-03,-282.59999E-03
-1.42000E-03,-288.84999E-03
-1.40000E-03,-288.84999E-03
-1.38000E-03,-301.34999E-03
-1.36000E-03,-301.34999E-03
-1.34000E-03,-307.59999E-03
-1.32000E-03,-307.59999E-03
-1.30000E-03,-313.84999E-03
-1.28000E-03,-320.09999E-03
-1.26000E-03,-326.34999E-03
-1.24000E-03,-326.34999E-03
-1.22000E-03,-326.34999E-03
-1.20000E-03,-338.84999E-03
-1.18000E-03,-338.84999E-03
-1.16000E-03,-345.09999E-03
-1.14000E-03,-351.34999E-03
-1.12000E-03,-357.59999E-03
-1.10000E-03,-357.59999E-03
-1.08000E-03,-363.84999E-03
-1.06000E-03,-370.09999E-03
-1.04000E-03,-370.09999E-03
-1.02000E-03,-382.59999E-03
-1.00000E-03,-388.84999E-03
-980.00E-06,-388.84999E-03
-960.00E-06,-395.09999E-03
-940.00E-06,-407.59999E-03
-920.00E-06,-407.59999E-03
-900.00E-06,-413.84999E-03
-880.00E-06,-413.84999E-03
-860.00E-06,-420.09999E-03
-840.00E-06,-426.34999E-03
-820.00E-06,-432.59999E-03
-800.00E-06,-445.09999E-03
-780.00E-06,-438.84999E-03
-760.00E-06,-451.34999E-03
-740.00E-06,-451.34999E-03
-720.00E-06,-451.34999E-03
-700.00E-06,-457.59999E-03
-680.00E-06,-470.09999E-03
-660.00E-06,-470.09999E-03
-640.00E-06,-476.34999E-03
