x-axis,B,2,3,4
second,Volt,Volt,Volt,Volt
-7.72000E-03,+211.87500E-03,-461.25000E-03,-453.75001E-03,+268.70000E-03
-7.70000E-03,+202.50000E-03,-455.00000E-03,-22.50000E-03,+265.57500E-03
-7.68000E-03,+202.50000E-03,-455.00000E-03,-19.37500E-03,+259.32500E-03
-7.66000E-03,+199.37500E-03,-442.50000E-03,-13.12500E-03,+253.07500E-03
-7.64000E-03,+199.37500E-03,-442.50000E-03,-441.25001E-03,+249.95000E-03
-7.62000E-03,+190.00000E-03,-448.75000E-03,-435.00001E-03,+253.07500E-03
-7.60000E-03,+190.00000E-03,-442.50000E-03,-435.00001E-03,+246.82500E-03
-7.58000E-03,+183.75000E-03,-436.25000E-03,-25.62500E-03,+253.07500E-03
-7.56000E-03,+180.62500E-03,-430.00000E-03,-22.50000E-03,+243.70000E-03
-7.54000E-03,+177.50000E-03,-430.00000E-03,-16.25000E-03,+249.95000E-03
-7.52000E-03,+171.25000E-03,-423.75000E-03,-13.12500E-03,+243.70000E-03
-7.50000E-03,+174.37500E-03,-423.75000E-03,-416.25001E-03,+240.57500E-03
-7.48000E-03,+165.00000E-03,-417.50000E-03,-410.00001E-03,+240.57500E-03
-7.46000E-03,+165.00000E-03,-411.25000E-03,-406.87501E-03,+240.57500E-03
-7.44000E-03,+161.87500E-03,-405.00000E-03,-22.50000E-03,+234.32500E-03
-7.42000E-03,+158.75000E-03,-411.25000E-03,-19.37500E-03,+231.20000E-03
-7.40000E-03,+155.62500E-03,-398.75000E-03,-13.12500E-03,+224.95000E-03
-7.38000E-03,+152.50000E-03,-398.75000E-03,-391.25001E-03,+231.20000E-03
-7.36000E-03,+149.37500E-03,-392.50000E-03,-388.12501E-03,+221.82500E-03
-7.34000E-03,+143.12500E-03,-386.25000E-03,-381.87501E-03,+231.20000E-03
-7.32000E-03,+136.87500E-03,-386.25000E-03,-381.87501E-03,+224.95000E-03
-7.30000E-03,+136.87500E-03,-386.25000E-03,-19.37500E-03,+218.70000E-03
-7.28000E-03,+136.87500E-03,-380.00000E-03,-16.25000E-03,+212.45000E-03
-7.26000E-03,+130.62500E-03,-380.00000E-03,-16.25000E-03,+215.57500E-03
-7.24000E-03,+130.62500E-03,-373.75000E-03,-366.25001E-03,+209.32500E-03
-7.22000E-03,+127.50000E-03,-373.75000E-03,-360.00001E-03,+209.32500E-03
-7.20000E-03,+121.25000E-03,-367.50000E-03,-363.12501E-03,+203.07500E-03
-7.18000E-03,+118.12500E-03,-361.25000E-03,-22.50000E-03,+206.20000E-03
-7.16000E-03,+111.87500E-03,-361.25000E-03,-16.25000E-03,+199.95000E-03
-7.14000E-03,+115.00000E-03,-355.00000E-03,-13.12500E-03,+206.20000E-03
-7.12000E-03,+108.75000E-03,-355.00000E-03,-10.00000E-03,+196.82500E-03
-7.10000E-03,+105.62500E-03,-355.00000E-03,-344.37501E-03,+196.82500E-03
-7.08000E-03,+105.62500E-03,-348.75000E-03,-338.12501E-03,+199.95000E-03
-7.06000E-03,+102.50000E-03,-348.75000E-03,-338.12501E-03,+193.70000E-03
-7.04000E-03,+93.12500E-03,-336.25000E-03,-19.37500E-03,+193.70000E-03
-7.02000E-03,+93.12500E-03,-336.25000E-03,-16.25000E-03,+187.45000E-03
-7.00000E-03,+90.00000E-03,-330.00000E-03,-13.12500E-03,+190.57500E-03
-6.98000E-03,+86.87500E-03,-323.75000E-03,-322.50001E-03,+190.57500E-03
-6.96000E-03,+80.62500E-03,-317.50000E-03,-319.37501E-03,+178.07500E-03
-6.94000E-03,+80.62500E-03,-317.50000E-03,-316.25001E-03,+181.20000E-03
-6.92000E-03,+80.62500E-03,-317.50000E-03,-310.00001E-03,+187.45000E-03
-6.90000E-03,+80.62500E-03,-311.25000E-03,-19.37500E-03,+181.20000E-03
-6.88000E-03,+74.37500E-03,-311.25000E-03,-16.25000E-03,+184.32500E-03
-6.86000E-03,+71.25000E-03,-311.25000E-03,-10.00000E-03,+178.07500E-03
-6.84000E-03,+68.12500E-03,-305.00000E-03,-300.62501E-03,+168.70000E-03
-6.82000E-03,+65.00000E-03,-298.75000E-03,-294.37501E-03,+171.82500E-03
-6.80000E-03,+65.00000E-03,-298.75000E-03,-294.37501E-03,+178.07500E-03
-6.78000E-03,+58.75000E-03,-298.75000E-03,-19.37500E-03,+168.70000E-03
-6.76000E-03,+58.75000E-03,-292.50000E-03,-16.25000E-03,+165.57500E-03
-6.74000E-03,+49.37500E-03,-298.75000E-03,-13.12500E-03,+165.57500E-03
-6.72000E-03,+52.50000E-03,-292.50000E-03,-625.00E-06,+165.57500E-03
-6.70000E-03,+46.25000E-03,-286.25000E-03,-278.75001E-03,+156.20000E-03
-6.68000E-03,+46.25000E-03,-280.00000E-03,-275.62501E-03,+159.32500E-03
-6.66000E-03,+40.00000E-03,-280.00000E-03,-272.50001E-03,+149.95000E-03
-6.64000E-03,+36.87500E-03,-273.75000E-03,-16.25000E-03,+156.20000E-03
-6.62000E-03,+36.87500E-03,-267.50000E-03,-13.12500E-03,+153.07500E-03
-6.60000E-03,+36.87500E-03,-267.50000E-03,-13.12500E-03,+153.07500E-03
-6.58000E-03,+33.75000E-03,-267.50000E-03,-263.12501E-03,+162.45000E-03
-6.56000E-03,+27.50000E-03,-267.50000E-03,-256.87501E-03,+153.07500E-03
-6.54000E-03,+24.37500E-03,-261.25000E-03,-256.87501E-03,+149.95000E-03
-6.52000E-03,+21.25000E-03,-342.50000E-03,-316.25001E-03,+156.20000E-03
-6.50000E-03,+21.25000E-03,-255.00000E-03,-16.25000E-03,+143.70000E-03
-6.48000E-03,+18.12500E-03,-255.00000E-03,-13.12500E-03,+149.95000E-03
-6.46000E-03,+15.00000E-03,-248.75000E-03,-10.00000E-03,+143.70000E-03
-6.44000E-03,+11.87500E-03,-242.50000E-03,-241.25001E-03,+146.82500E-03
-6.42000E-03,+11.87500E-03,-248.75000E-03,-235.00001E-03,+140.57500E-03
-6.40000E-03,+8.75000E-03,-242.50000E-03,-235.00001E-03,+131.20000E-03
-6.38000E-03,+5.62500E-03,-236.25000E-03,-19.37500E-03,+134.32500E-03
-6.36000E-03,+5.62500E-03,-230.00000E-03,-10.00000E-03,+143.70000E-03
-6.34000E-03,+2.50000E-03,-230.00000E-03,-10.00000E-03,+140.57500E-03
-6.32000E-03,-625.00E-06,-230.00000E-03,-225.62501E-03,+137.45000E-03
-6.30000E-03,-3.75000E-03,-217.50000E-03,-222.50001E-03,+134.32500E-03
-6.28000E-03,-3.75000E-03,-223.75000E-03,-222.50001E-03,+124.95000E-03
-6.26000E-03,-10.00000E-03,-223.75000E-03,-216.25001E-03,+124.95000E-03
-6.24000E-03,-10.00000E-03,-217.50000E-03,-13.12500E-03,+118.70000E-03
-6.22000E-03,-13.12500E-03,-223.75000E-03,-13.12500E-03,+128.07500E-03
-6.20000E-03,-16.25000E-03,-211.25000E-03,-13.12500E-03,+128.07500E-03
-6.18000E-03,-19.37500E-03,-211.25000E-03,-203.75001E-03,+128.07500E-03
-6.16000E-03,-19.37500E-03,-205.00000E-03,-206.87501E-03,+115.57500E-03
-6.14000E-03,-22.50000E-03,-205.00000E-03,-200.62501E-03,+118.70000E-03
-6.12000E-03,-25.62500E-03,-192.50000E-03,-131.87501E-03,+115.57500E-03
-6.10000E-03,-25.62500E-03,-198.75000E-03,-10.00000E-03,+124.95000E-03
-6.08000E-03,-31.87500E-03,-192.50000E-03,-10.00000E-03,+109.32500E-03
-6.06000E-03,-35.00000E-03,-192.50000E-03,-10.00000E-03,+109.32500E-03
-6.04000E-03,-31.87500E-03,-198.75000E-03,-185.00001E-03,+115.57500E-03
-6.02000E-03,-35.00000E-03,-186.25000E-03,-188.12501E-03,+109.32500E-03
-6.00000E-03,-41.25000E-03,-186.25000E-03,-181.87501E-03,+112.45000E-03
-5.98000E-03,-41.25000E-03,-186.25000E-03,-16.25000E-03,+103.07500E-03
-5.96000E-03,-41.25000E-03,-180.00000E-03,-13.12500E-03,+106.20000E-03
-5.94000E-03,-44.37500E-03,-186.25000E-03,-10.00000E-03,+99.95000E-03
-5.92000E-03,-47.50000E-03,-180.00000E-03,-172.50001E-03,+103.07500E-03
-5.90000E-03,-47.50000E-03,-173.75000E-03,-172.50001E-03,+96.82500E-03
-5.88000E-03,-47.50000E-03,-173.75000E-03,-166.25001E-03,+93.70000E-03
-5.86000E-03,-53.75000E-03,-173.75000E-03,-163.12501E-03,+93.70000E-03
-5.84000E-03,-53.75000E-03,-167.50000E-03,-10.00000E-03,+103.07500E-03
-5.82000E-03,-53.75000E-03,-167.50000E-03,-10.00000E-03,+96.82500E-03
-5.80000E-03,-56.87500E-03,-167.50000E-03,-10.00000E-03,+96.82500E-03
-5.78000E-03,-56.87500E-03,-161.25000E-03,-156.87501E-03,+93.70000E-03
-5.76000E-03,-60.00000E-03,-161.25000E-03,-156.87501E-03,+93.70000E-03
-5.74000E-03,-63.12500E-03,-161.25000E-03,-153.75001E-03,+90.57500E-03
-5.72000E-03,-66.25000E-03,-155.00000E-03,-60.00001E-03,+90.57500E-03
-5.70000E-03,-66.25000E-03,-155.00000E-03,-10.00000E-03,+93.70000E-03
-5.68000E-03,-69.37500E-03,-148.75000E-03,-10.00000E-03,+90.57500E-03
-5.66000E-03,-72.50000E-03,-148.75000E-03,-6.87500E-03,+96.82500E-03
-5.64000E-03,-75.62500E-03,-142.50000E-03,-141.25001E-03,+84.32500E-03
-5.62000E-03,-75.62500E-03,-148.75000E-03,-138.12501E-03,+81.20000E-03
-5.60000E-03,-81.87500E-03,-142.50000E-03,-135.00001E-03,+84.32500E-03
-5.58000E-03,-75.62500E-03,-136.25000E-03,-13.12500E-03,+84.32500E-03
-5.56000E-03,-78.75000E-03,-142.50000E-03,-10.00000E-03,+74.95000E-03
-5.54000E-03,-81.87500E-03,-136.25000E-03,-10.00000E-03,+78.07500E-03
-5.52000E-03,-88.12500E-03,-130.00000E-03,-128.75001E-03,+78.07500E-03
-5.50000E-03,-85.00000E-03,-130.00000E-03,-125.62501E-03,+81.20000E-03
-5.48000E-03,-88.12500E-03,-130.00000E-03,-125.62501E-03,+71.82500E-03
-5.46000E-03,-88.12500E-03,-123.75000E-03,-122.50001E-03,+71.82500E-03
-5.44000E-03,-88.12500E-03,-123.75000E-03,-10.00000E-03,+71.82500E-03
-5.42000E-03,-91.25000E-03,-123.75000E-03,-10.00000E-03,+74.95000E-03
-5.40000E-03,-94.37500E-03,-117.50000E-03,-10.00000E-03,+74.95000E-03
-5.38000E-03,-100.62500E-03,-117.50000E-03,-116.25001E-03,+68.70000E-03
-5.36000E-03,-97.50000E-03,-117.50000E-03,-110.00001E-03,+71.82500E-03
-5.34000E-03,-97.50000E-03,-111.25000E-03,-113.12501E-03,+65.57500E-03
-5.32000E-03,-100.62500E-03,-111.25000E-03,-28.75000E-03,+68.70000E-03
-5.30000E-03,-100.62500E-03,-111.25000E-03,-10.00000E-03,+62.45000E-03
-5.28000E-03,-103.75000E-03,-111.25000E-03,-6.87500E-03,+59.32500E-03
-5.26000E-03,-106.87500E-03,-105.00000E-03,-6.87500E-03,+62.45000E-03
-5.24000E-03,-110.00000E-03,-105.00000E-03,-103.75001E-03,+62.45000E-03
-5.22000E-03,-110.00000E-03,-98.75000E-03,-100.62501E-03,+62.45000E-03
-5.20000E-03,-110.00000E-03,-98.75000E-03,-97.50001E-03,+59.32500E-03
-5.18000E-03,-110.00000E-03,-105.00000E-03,-10.00000E-03,+59.32500E-03
-5.16000E-03,-110.00000E-03,-98.75000E-03,-6.87500E-03,+59.32500E-03
-5.14000E-03,-113.12500E-03,-92.50000E-03,-6.87500E-03,+59.32500E-03
-5.12000E-03,-116.25000E-03,-86.25000E-03,-91.25001E-03,+62.45000E-03
-5.10000E-03,-116.25000E-03,-92.50000E-03,-91.25001E-03,+59.32500E-03
-5.08000E-03,-119.37500E-03,-92.50000E-03,-88.12501E-03,+49.95000E-03
-5.06000E-03,-119.37500E-03,-80.00000E-03,-88.12501E-03,+59.32500E-03
-5.04000E-03,-119.37500E-03,-86.25000E-03,-10.00000E-03,+56.20000E-03
-5.02000E-03,-122.50000E-03,-80.00000E-03,-10.00000E-03,+46.82500E-03
