second,Volt1,Volt2,Volt3,Volt4
-1.600000E-03,+148.750003E-03,-202.500003E-03,-203.125003E-03,+24.900001E-03
-1.595000E-03,+148.750003E-03,-208.750003E-03,-206.250003E-03,+43.650001E-03
-1.590000E-03,+148.750003E-03,-215.000003E-03,-206.250003E-03,+31.150001E-03
-1.585000E-03,+142.500003E-03,-221.250003E-03,-162.500002E-03,+24.900001E-03
-1.580000E-03,+142.500003E-03,-221.250003E-03,-9.375000E-03,+24.900001E-03
-1.575000E-03,+136.250003E-03,-221.250003E-03,-6.250000E-03,+24.900001E-03
-1.570000E-03,+136.250003E-03,-227.500003E-03,-9.375000E-03,+18.650000E-03
-1.565000E-03,+130.000003E-03,-227.500003E-03,-6.250000E-03,+18.650000E-03
-1.560000E-03,+123.750003E-03,-227.500003E-03,-221.875003E-03,+24.900001E-03
-1.555000E-03,+117.500002E-03,-233.750003E-03,-228.125003E-03,+18.650000E-03
-1.550000E-03,+123.750003E-03,-233.750003E-03,-231.250003E-03,+24.900001E-03
-1.545000E-03,+117.500002E-03,-240.000003E-03,-231.250003E-03,+18.650000E-03
-1.540000E-03,+111.250002E-03,-240.000003E-03,-234.375003E-03,+24.900001E-03
-1.535000E-03,+111.250002E-03,-246.250004E-03,-165.625002E-03,+24.900001E-03
-1.530000E-03,+98.750002E-03,-246.250004E-03,-12.500000E-03,+18.650000E-03
-1.525000E-03,+105.000002E-03,-246.250004E-03,-9.375000E-03,+24.900001E-03
-1.520000E-03,+92.500002E-03,-252.500004E-03,-12.500000E-03,+18.650000E-03
-1.515000E-03,+92.500002E-03,-252.500004E-03,-12.500000E-03,+24.900001E-03
-1.510000E-03,+86.250002E-03,-252.500004E-03,-246.875004E-03,+31.150001E-03
-1.505000E-03,+80.000002E-03,-252.500004E-03,-246.875004E-03,+24.900001E-03
-1.500000E-03,+73.750002E-03,-252.500004E-03,-253.125004E-03,+31.150001E-03
-1.495000E-03,+73.750002E-03,-252.500004E-03,-253.125004E-03,+37.400001E-03
-1.490000E-03,+73.750002E-03,-258.750004E-03,-253.125004E-03,+37.400001E-03
-1.485000E-03,+67.500002E-03,-252.500004E-03,-171.875003E-03,+37.400001E-03
-1.480000E-03,+55.000002E-03,-265.000004E-03,-9.375000E-03,+43.650001E-03
-1.475000E-03,+48.750001E-03,-258.750004E-03,-9.375000E-03,+43.650001E-03
-1.470000E-03,+55.000002E-03,-258.750004E-03,-9.375000E-03,+43.650001E-03
-1.465000E-03,+42.500001E-03,-265.000004E-03,-9.375000E-03,+43.650001E-03
-1.460000E-03,+48.750001E-03,-258.750004E-03,-253.125004E-03,+49.900001E-03
-1.455000E-03,+36.250001E-03,-258.750004E-03,-253.125004E-03,+56.150001E-03
-1.450000E-03,+17.500001E-03,-258.750004E-03,-256.250004E-03,+56.150001E-03
-1.445000E-03,+23.750001E-03,-252.500004E-03,-256.250004E-03,+62.400001E-03
-1.440000E-03,+17.500001E-03,-252.500004E-03,-256.250004E-03,+62.400001E-03
-1.435000E-03,+11.250001E-03,-240.000003E-03,-162.500002E-03,+68.650001E-03
-1.430000E-03,+11.250001E-03,-258.750004E-03,-9.375000E-03,+74.900001E-03
-1.425000E-03,-1.249999E-03,-258.750004E-03,-12.500000E-03,+68.650001E-03
-1.420000E-03,-7.499999E-03,-258.750004E-03,-9.375000E-03,+74.900001E-03
-1.415000E-03,-13.749999E-03,-246.250004E-03,-9.375000E-03,+81.150001E-03
-1.410000E-03,-13.749999E-03,-252.500004E-03,-250.000004E-03,+81.150001E-03
-1.405000E-03,-26.250000E-03,-246.250004E-03,-243.750004E-03,+87.400001E-03
-1.400000E-03,-26.250000E-03,-252.500004E-03,-246.875004E-03,+87.400001E-03
-1.395000E-03,-32.500000E-03,-246.250004E-03,-240.625004E-03,+99.900002E-03
-1.390000E-03,-45.000000E-03,-246.250004E-03,-240.625004E-03,+93.650002E-03
-1.385000E-03,-45.000000E-03,-233.750003E-03,-150.000002E-03,+106.150002E-03
-1.380000E-03,-51.250000E-03,-240.000003E-03,-9.375000E-03,+93.650002E-03
-1.375000E-03,-63.750000E-03,-240.000003E-03,-9.375000E-03,+112.400002E-03
-1.370000E-03,-63.750000E-03,-240.000003E-03,-9.375000E-03,+99.900002E-03
-1.365000E-03,-70.000000E-03,-233.750003E-03,-9.375000E-03,+106.150002E-03
-1.360000E-03,-70.000000E-03,-233.750003E-03,-228.125003E-03,+106.150002E-03
-1.355000E-03,-76.250000E-03,-227.500003E-03,-225.000003E-03,+118.650002E-03
-1.350000E-03,-88.750001E-03,-221.250003E-03,-218.750003E-03,+106.150002E-03
-1.345000E-03,-82.500000E-03,-221.250003E-03,-218.750003E-03,+112.400002E-03
-1.340000E-03,-101.250001E-03,-221.250003E-03,-212.500003E-03,+124.900002E-03
-1.335000E-03,-101.250001E-03,-202.500003E-03,-134.375002E-03,+118.650002E-03
-1.330000E-03,-113.750001E-03,-215.000003E-03,-15.625000E-03,+124.900002E-03
-1.325000E-03,-107.500001E-03,-208.750003E-03,-9.375000E-03,+118.650002E-03
-1.320000E-03,-126.250001E-03,-202.500003E-03,-12.500000E-03,+124.900002E-03
-1.315000E-03,-126.250001E-03,-196.250003E-03,-9.375000E-03,+118.650002E-03
-1.310000E-03,-132.500001E-03,-196.250003E-03,-190.625003E-03,+124.900002E-03
-1.305000E-03,-132.500001E-03,-190.000003E-03,-187.500003E-03,+124.900002E-03
-1.300000E-03,-145.000001E-03,-183.750003E-03,-184.375003E-03,+124.900002E-03
-1.295000E-03,-151.250002E-03,-183.750003E-03,-181.250003E-03,+131.150002E-03
-1.290000E-03,-151.250002E-03,-183.750003E-03,-175.000003E-03,+118.650002E-03
-1.285000E-03,-163.750002E-03,-158.750002E-03,-115.625002E-03,+131.150002E-03
-1.280000E-03,-157.500002E-03,-165.000002E-03,-9.375000E-03,+124.900002E-03
-1.275000E-03,-170.000002E-03,-165.000002E-03,-9.375000E-03,+124.900002E-03
-1.270000E-03,-176.250002E-03,-158.750002E-03,-9.375000E-03,+137.400002E-03
-1.265000E-03,-182.500002E-03,-158.750002E-03,-9.375000E-03,+137.400002E-03
-1.260000E-03,-182.500002E-03,-158.750002E-03,-146.875002E-03,+124.900002E-03
-1.255000E-03,-195.000002E-03,-146.250002E-03,-143.750002E-03,+137.400002E-03
-1.250000E-03,-195.000002E-03,-140.000002E-03,-137.500002E-03,+124.900002E-03
-1.245000E-03,-201.250002E-03,-133.750002E-03,-134.375002E-03,+137.400002E-03
-1.240000E-03,-213.750002E-03,-127.500002E-03,-128.125002E-03,+124.900002E-03
-1.235000E-03,-213.750002E-03,-115.000002E-03,-90.625001E-03,+137.400002E-03
-1.230000E-03,-220.000003E-03,-121.250002E-03,-9.375000E-03,+131.150002E-03
-1.225000E-03,-220.000003E-03,-115.000002E-03,-9.375000E-03,+143.650002E-03
-1.220000E-03,-220.000003E-03,-108.750002E-03,-9.375000E-03,+124.900002E-03
-1.215000E-03,-226.250003E-03,-108.750002E-03,-9.375000E-03,+131.150002E-03
-1.210000E-03,-232.500003E-03,-102.500001E-03,-103.125002E-03,+137.400002E-03
-1.205000E-03,-238.750003E-03,-90.000001E-03,-87.500001E-03,+143.650002E-03
-1.200000E-03,-238.750003E-03,-90.000001E-03,-87.500001E-03,+131.150002E-03
-1.195000E-03,-245.000003E-03,-77.500001E-03,-78.125001E-03,+131.150002E-03
-1.190000E-03,-251.250003E-03,-71.250001E-03,-75.000001E-03,+131.150002E-03
-1.185000E-03,-251.250003E-03,-65.000001E-03,-65.625001E-03,+137.400002E-03
-1.180000E-03,-263.750003E-03,-58.750001E-03,-6.250000E-03,+131.150002E-03
-1.175000E-03,-263.750003E-03,-58.750001E-03,-3.125000E-03,+137.400002E-03
-1.170000E-03,-270.000003E-03,-52.500001E-03,-6.250000E-03,+124.900002E-03
-1.165000E-03,-270.000003E-03,-46.250001E-03,-6.250000E-03,+137.400002E-03
-1.160000E-03,-270.000003E-03,-46.250001E-03,-46.875001E-03,+131.150002E-03
-1.155000E-03,-276.250003E-03,-27.500000E-03,-31.250000E-03,+124.900002E-03
-1.150000E-03,-276.250003E-03,-21.250000E-03,-28.125000E-03,+131.150002E-03
-1.145000E-03,-288.750004E-03,-21.250000E-03,-18.750000E-03,+124.900002E-03
-1.140000E-03,-282.500003E-03,-15.000000E-03,-15.625000E-03,+131.150002E-03
-1.135000E-03,-288.750004E-03,-8.750000E-03,-40.625001E-03,+124.900002E-03
-1.130000E-03,-295.000004E-03,-2.500000E-03,-6.250000E-03,+124.900002E-03
-1.125000E-03,-295.000004E-03,+3.750000E-03,-6.250000E-03,+124.900002E-03
